0.11	0.11	0.27	0.27	0.41	0.41	0.43	0.43	0.45	0.45	0.46	0.46	0.56	0.56	0.06	0.06
0.11	0.11	0.27	0.27	0.41	0.41	0.43	0.43	0.45	0.45	0.46	0.46	0.56	0.56	0.06	0.06
0.08	0.08	0.18	0.18	0.22	0.22	0.4	0.4	0.73	0.73	0.6	0.6	0.68	0.68	2.12	2.12
0.08	0.08	0.18	0.18	0.22	0.22	0.4	0.4	0.73	0.73	0.6	0.6	0.68	0.68	2.12	2.12
0.2	0.2	0.57	0.57	0.63	0.63	3.64	3.64	4.28	4.28	4.25	4.25	4.05	4.05	6.23	6.23
0.2	0.2	0.57	0.57	0.63	0.63	3.64	3.64	4.28	4.28	4.25	4.25	4.05	4.05	6.23	6.23
5.61	5.61	2.92	2.92	2.11	2.11	0.89	0.89	0.29	0.29	0.22	0.22	0.23	0.23	0.03	0.03
5.61	5.61	2.92	2.92	2.11	2.11	0.89	0.89	0.29	0.29	0.22	0.22	0.23	0.23	0.03	0.03
0.25	0.25	0.36	0.36	1.07	1.07	5.67	5.67	0.23	0.23	0.21	0.21	0.17	0.17	0.11	0.11
0.25	0.25	0.36	0.36	1.07	1.07	5.67	5.67	0.23	0.23	0.21	0.21	0.17	0.17	0.11	0.11
0.08	0.08	0.16	0.16	0.22	0.22	0.59	0.59	6.17	6.17	2.32	2.32	0.24	0.24	0.09	0.09
0.08	0.08	0.16	0.16	0.22	0.22	0.59	0.59	6.17	6.17	2.32	2.32	0.24	0.24	0.09	0.09
0.1	0.1	0.14	0.14	0.16	0.16	0.18	0.18	0.35	0.35	1.18	1.18	9.92	9.92	0.18	0.18
0.1	0.1	0.14	0.14	0.16	0.16	0.18	0.18	0.35	0.35	1.18	1.18	9.92	9.92	0.18	0.18
0.09	0.09	0.2	0.2	0.26	0.26	0.26	0.26	0.4	0.4	0.39	0.39	1.39	1.39	19.45	19.45
0.09	0.09	0.2	0.2	0.26	0.26	0.26	0.26	0.4	0.4	0.39	0.39	1.39	1.39	19.45	19.45
